Club Name,Club Badge URL,Player Name,Player Image URL,Jersey Number,Position,Nationality 1,Nationality 1 Flag URL,Nationality 2,Nationality 2 Flag URL
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Marwin Hitz,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731641_52316605.png&w=3840&q=75,1,Torhüter,Schweiz,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F3bh70jgvc5mn58x0byjkuda17%403x.png&w=3840&q=75,,
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Mirko Salvi,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731543_52316507.png&w=3840&q=75,13,Torhüter,Schweiz,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F3bh70jgvc5mn58x0byjkuda17%403x.png&w=3840&q=75,Italien,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F25f2cmb2r8mk5rj92tzer6kvv%403x.png&w=3840&q=75
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Tim Spycher,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731393_52316357.png&w=3840&q=75,16,Torhüter,Schweiz,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F3bh70jgvc5mn58x0byjkuda17%403x.png&w=3840&q=75,Deutschland,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F31o5u3pnae9k5ak9tkhet8h5g%403x.png&w=3840&q=75
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Tim Pfeiffer,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731598_52316562.png&w=3840&q=75,47,Torhüter,Deutschland,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F31o5u3pnae9k5ak9tkhet8h5g%403x.png&w=3840&q=75,,
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Nicolas Vouilloz,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731494_52316458.png&w=3840&q=75,3,Verteidiger,Schweiz,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F3bh70jgvc5mn58x0byjkuda17%403x.png&w=3840&q=75,,
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Keigo Tsunemoto,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731806_52316770.png&w=3840&q=75,6,Verteidiger,Japan,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F1almavk3j4jf05v61cwn9j1jh%403x.png&w=3840&q=75,,
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Flavius Daniliuc,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F2190227%2Fmedia_58478885_58076899.png&w=3840&q=75,24,Verteidiger,Österreich,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F1u2ohgn4rfjepjscghwuqmwco%403x.png&w=3840&q=75,,
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Finn van Breemen,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731626_52316590.png&w=3840&q=75,25,Verteidiger,Niederlande,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F39ape8mfua1jdeaav81j949e0%403x.png&w=3840&q=75,,
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Adrian Barisic,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731629_52316593.png&w=3840&q=75,26,Verteidiger,Bosnien-Herzegowina,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F2m83usj5sdqa8qd6vn0y8l6u5%403x.png&w=3840&q=75,Kroatien,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F2ap8txhvmlwa4jpwdru4h06g5%403x.png&w=3840&q=75
FC Basel,https://sfl.ch/_next/image?url=https%3A%2F%2Fassets-eu-01.kc-usercontent.com%3A443%2F3668e732-8a21-0181-1c69-be073a63937a%2Fcf1c3258-7217-4793-a8da-b10698d7f39e%2FRZ_CSSL_ClubLogo_FCB_RGB.png&w=3840&q=75,Kevin Rüegg,https://sfl.ch/_next/image?url=https%3A%2F%2Fscoreplay-mam-media.s3.amazonaws.com%2F322%2F1864797%2Fmedia_52731687_52316651.png&w=3840&q=75,27,Verteidiger,Schweiz,https://sfl.ch/_next/image?url=https%3A%2F%2Forigins-common-assets.origins-digital.com%2Fsport-assets%2Fopta_sd%2Fcountry_flag%2F3bh70jgvc5mn58x0byjkuda17%403x.png&w=3840&q=75,,
